Administrative,Informational,ProductRelated,TotalTimeOnSite,BounceRates,ExitRates,PageValues,SpecialDay,Month,VisitorType,Weekend,Revenue
0,0,1,0,0.2,0.2,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,2,64,0,0.1,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,1,0,0.2,0.2,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,2,2.666666667,0.05,0.14,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,10,627.5,0.02,0.05,0,0,Feb,Returning_Visitor,TRUE,FALSE
0,0,19,154.2166667,0.015789474,0.024561404,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,1,0,0.2,0.2,0,0.4,Feb,Returning_Visitor,FALSE,FALSE
1,0,0,0,0.2,0.2,0,0,Feb,Returning_Visitor,TRUE,FALSE
0,0,2,37,0,0.1,0,0.8,Feb,Returning_Visitor,FALSE,FALSE
0,0,3,738,0,0.022222222,0,0.4,Feb,Returning_Visitor,FALSE,FALSE
0,0,3,395,0,0.066666667,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,16,407.75,0.01875,0.025833333,0,0.4,Feb,Returning_Visitor,FALSE,FALSE
0,0,7,280.5,0,0.028571429,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,6,98,0,0.066666667,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,2,68,0,0.1,0,0,Feb,Returning_Visitor,FALSE,FALSE
2,0,23,1721.285119,0.008333333,0.016312636,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,1,0,0.2,0.2,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,13,334.9666667,0,0.007692308,0,0,Feb,Returning_Visitor,TRUE,FALSE
0,0,2,32,0,0.1,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,20,2981.166667,0,0.01,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,8,136.1666667,0,0.008333333,0,1,Feb,Returning_Visitor,TRUE,FALSE
0,0,2,0,0.2,0.2,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,3,105,0,0.033333333,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,2,15,0,0.1,0,0.8,Feb,Returning_Visitor,FALSE,FALSE
0,0,1,0,0.2,0.2,0,0,Feb,Returning_Visitor,TRUE,FALSE
0,0,5,156,0,0.04,0,0,Feb,Returning_Visitor,FALSE,FALSE
4,0,32,1200.0444439999999,0.002857143,0.00952381,0,0,Feb,Returning_Visitor,FALSE,FALSE
0,0,4,76,0.05,0.1,0,0,Feb,Returning_Visitor,FALSE,FALSE
